ID,Outcome
TEST_000,0.29595357
TEST_001,0.25064504
TEST_002,0.41781372
TEST_003,0.5314272
TEST_004,0.19638352
TEST_005,0.19042154
TEST_006,0.46608385
TEST_007,0.44359368
TEST_008,0.07367703
TEST_009,0.13475673
TEST_010,0.37258425
TEST_011,0.35921192
TEST_012,0.2954981
TEST_013,0.27301055
TEST_014,0.14934307
TEST_015,0.25677451
TEST_016,0.1791235
TEST_017,0.1548865
TEST_018,0.22684377
TEST_019,0.19289382
TEST_020,0.55478615
TEST_021,0.2567251
TEST_022,0.26648393
TEST_023,0.1426398
TEST_024,0.21832503
TEST_025,0.69798493
TEST_026,0.11318446
TEST_027,0.2879686
TEST_028,0.14706954
TEST_029,0.2572677
TEST_030,0.4685298
TEST_031,0.3761543
TEST_032,0.20386349
TEST_033,0.1888434
TEST_034,0.48758295
TEST_035,0.23804717
TEST_036,0.19253843
TEST_037,0.1516267
TEST_038,0.81780493
TEST_039,0.18206982
TEST_040,0.1722232
TEST_041,0.7500262
TEST_042,0.26239595
TEST_043,0.20050652
TEST_044,0.30309
TEST_045,0.33447137
TEST_046,0.12747866
TEST_047,0.24835426
TEST_048,0.3664418
TEST_049,0.6596546
TEST_050,0.27398932
TEST_051,0.5975542
TEST_052,0.26710227
TEST_053,0.25279737
TEST_054,0.66515774
TEST_055,0.49086305
TEST_056,0.18365635
TEST_057,0.31071064
TEST_058,0.465306
TEST_059,0.67839193
TEST_060,0.16071063
TEST_061,0.13257399
TEST_062,0.4239598
TEST_063,0.7127592
TEST_064,0.540586
TEST_065,0.28356594
TEST_066,0.4933725
TEST_067,0.7337403
TEST_068,0.48700497
TEST_069,0.15546302
TEST_070,0.2861006
TEST_071,0.17542218
TEST_072,0.27756223
TEST_073,0.06990683
TEST_074,0.28003863
TEST_075,0.25018314
TEST_076,0.11929891
TEST_077,0.137139
TEST_078,0.35411742
TEST_079,0.20554388
TEST_080,0.1980414
TEST_081,0.029437425
TEST_082,0.24680375
TEST_083,0.13824634
TEST_084,0.24111322
TEST_085,0.4664891
TEST_086,0.32386684
TEST_087,0.16609862
TEST_088,0.21932577
TEST_089,0.10957616
TEST_090,0.6509701
TEST_091,0.1640369
TEST_092,0.36164844
TEST_093,0.2694557
TEST_094,0.30602196
TEST_095,0.18802156
TEST_096,0.27095312
TEST_097,0.15300365
TEST_098,0.16843975
TEST_099,0.3133656
TEST_100,0.6099485
TEST_101,0.74919254
TEST_102,0.16185103
TEST_103,0.345597
TEST_104,0.2549714
TEST_105,0.30981869
TEST_106,0.17948829
TEST_107,0.65499794
TEST_108,0.20753895
TEST_109,0.13350065
TEST_110,0.027022451
TEST_111,0.34472656
TEST_112,0.33675015
TEST_113,0.6322001
TEST_114,0.208435
TEST_115,0.5415375
