ID,Outcome
TEST_000,0.408108
TEST_001,0.16867732
TEST_002,0.2551427
TEST_003,0.7252741
TEST_004,0.1863756
TEST_005,0.23054717
TEST_006,0.5108619
TEST_007,0.61052847
TEST_008,0.16664599
TEST_009,0.18225287
TEST_010,0.2973361
TEST_011,0.49843168
TEST_012,0.30354404
TEST_013,0.27720475
TEST_014,0.17510913
TEST_015,0.3772483
TEST_016,0.2086892
TEST_017,0.14936183
TEST_018,0.2819929
TEST_019,0.16615246
TEST_020,0.6800637
TEST_021,0.19761108
TEST_022,0.25596285
TEST_023,0.105440125
TEST_024,0.20143126
TEST_025,0.6812687
TEST_026,0.08342217
TEST_027,0.27555084
TEST_028,0.09472869
TEST_029,0.13883589
TEST_030,0.47600555
TEST_031,0.42954206
TEST_032,0.19848202
TEST_033,0.45388174
TEST_034,0.39152575
TEST_035,0.1596999
TEST_036,0.1286404
TEST_037,0.13700579
TEST_038,0.56233287
TEST_039,0.34870863
TEST_040,0.14235495
TEST_041,0.2373638
TEST_042,0.4396038
TEST_043,0.11300181
TEST_044,0.3200922
TEST_045,0.2570939
TEST_046,-0.18184234
TEST_047,0.2059841
TEST_048,0.47584486
TEST_049,0.7190428
TEST_050,0.49308968
TEST_051,0.7839289
TEST_052,0.43675232
TEST_053,0.16196726
TEST_054,0.33604765
TEST_055,0.4607377
TEST_056,0.22630952
TEST_057,0.3385191
TEST_058,0.46480322
TEST_059,0.6045842
TEST_060,0.043647278
TEST_061,0.51410866
TEST_062,0.5106859
TEST_063,0.81701803
TEST_064,0.52909327
TEST_065,0.43898392
TEST_066,0.5859246
TEST_067,0.821116
TEST_068,0.6405997
TEST_069,0.110043034
TEST_070,0.26763463
TEST_071,0.31097364
TEST_072,0.3239398
TEST_073,0.040879954
TEST_074,0.21184848
TEST_075,0.37179422
TEST_076,0.18251656
TEST_077,0.24114369
TEST_078,0.297287
TEST_079,0.2689743
TEST_080,0.21835898
TEST_081,-0.11406566
TEST_082,0.27649307
TEST_083,0.16292189
TEST_084,0.27073145
TEST_085,0.68787
TEST_086,0.39543486
TEST_087,0.31579256
TEST_088,0.16975163
TEST_089,0.20743154
TEST_090,0.6168628
TEST_091,0.04363345
TEST_092,0.43680573
TEST_093,0.32089615
TEST_094,0.5206878
TEST_095,0.20789836
TEST_096,0.31464434
TEST_097,0.0938742
TEST_098,0.25629568
TEST_099,0.3389392
TEST_100,0.64112806
TEST_101,0.508173
TEST_102,0.17193078
TEST_103,0.4236579
TEST_104,0.3017087
TEST_105,0.39514112
TEST_106,0.13350008
TEST_107,0.7656574
TEST_108,0.22181605
TEST_109,0.26270962
TEST_110,-0.27743995
TEST_111,0.34593964
TEST_112,0.22090958
TEST_113,0.66940355
TEST_114,0.21512602
TEST_115,0.03281926
