id,count
0,88.93191
1,214.46965
2,75.18614
4,96.77974
5,114.22387
10,133.62398
11,147.53879
12,189.60316
15,64.017235
17,39.824066
18,214.69682
23,206.42743
25,155.61792
26,72.16097
31,198.43623
39,170.87108
40,49.227196
41,147.42535
42,
43,177.21457
51,205.92274
52,63.045162
54,83.215294
60,162.60794
61,175.55255
62,146.30128
63,45.842247
65,140.07346
66,125.470436
68,170.85191
71,48.411255
80,79.50544
82,
94,178.07166
98,201.93956
101,73.062935
102,170.75833
107,119.898674
112,201.95436
113,69.09349
115,
116,161.12161
120,96.81671
121,72.66131
122,216.66887
132,176.07759
143,56.443348
147,
150,59.891552
151,60.40188
152,202.22395
153,86.3361
155,71.412056
156,129.4524
159,190.69315
161,93.83037
163,84.06756
177,173.69469
186,80.74471
188,73.27963
190,86.736046
191,93.04003
192,167.78004
195,203.88681
200,182.61884
209,205.41728
210,61.334557
211,211.26624
214,174.78542
215,80.495895
218,140.62842
219,39.26016
222,105.68124
225,58.889027
228,219.53487
236,201.89821
241,84.24993
242,178.07634
243,214.15616
245,75.60856
247,214.01157
251,181.13927
252,90.41424
253,54.63356
254,74.01357
258,204.49866
260,
261,167.81671
265,68.21791
266,202.39911
267,185.76549
269,169.31992
270,
275,139.58557
278,78.343925
279,46.019005
286,108.94544
287,70.00681
288,204.3455
289,181.74402
293,87.29736
294,169.20201
297,
302,100.41951
303,63.84951
304,120.55947
307,134.70619
309,59.43923
311,193.48822
312,142.95407
314,197.45297
315,208.2191
319,195.23387
322,155.46884
323,
325,171.12128
327,205.1046
330,60.284313
332,194.7341
333,83.4582
338,150.60057
341,74.58233
345,150.8669
348,167.23975
349,94.5912
350,126.61551
352,
355,47.345406
356,
358,
363,170.4893
369,183.6917
371,62.089417
372,182.91133
375,213.70264
380,173.71715
388,84.46016
391,
392,177.5693
393,208.79662
394,85.54778
396,63.73118
401,59.805294
407,48.811264
409,83.04947
410,128.89288
416,115.07359
418,125.54603
420,186.38849
421,191.60884
422,184.39354
424,217.09874
428,181.50945
429,193.8453
431,168.04599
435,20.306309
439,115.70384
441,51.008507
447,68.07376
449,180.97508
451,191.61514
452,80.19146
454,168.70442
458,191.2202
463,169.99185
467,63.92203
470,139.25237
471,157.6481
474,204.89352
478,88.03326
483,103.07024
484,150.94699
485,79.29914
486,162.28725
491,116.89475
494,95.63923
495,182.60237
497,181.27019
499,197.00246
515,137.93431
518,189.56453
521,106.34626
525,
529,195.5921
532,168.60988
534,63.555485
540,77.25709
544,217.07097
547,184.15538
549,91.18966
563,52.221798
564,191.46803
567,104.94925
572,147.6019
577,165.3871
578,214.55347
585,198.08102
588,185.50005
589,159.60184
590,136.73093
592,73.92561
594,142.09747
596,71.07426
598,192.58276
599,176.13678
605,84.06164
606,153.90654
607,188.29022
608,197.34618
609,
610,196.61911
611,104.84426
614,
615,178.28955
616,194.81885
617,155.90193
618,181.66101
624,110.16191
629,179.9001
631,92.98481
633,84.04481
637,76.20412
638,139.09302
643,
644,180.0648
645,63.586433
646,173.48053
648,167.46368
650,81.67817
651,96.73513
652,220.04628
656,166.77696
657,90.25542
659,69.83927
660,160.77869
662,142.7179
665,205.20116
675,
681,173.24994
682,180.84233
685,74.12671
686,195.76453
689,69.92901
696,162.16408
703,183.79356
704,116.07778
705,166.40956
714,189.85538
717,74.28799
718,76.15253
720,85.85876
721,207.66544
723,197.55743
726,90.009125
728,170.81464
730,98.72336
731,81.6937
734,218.77264
737,54.060707
738,81.877335
745,192.5955
746,70.71298
749,184.77707
752,63.566044
753,78.511475
758,190.29501
765,81.91054
766,189.31444
768,63.627796
769,197.50098
774,175.26047
775,124.41987
781,
784,201.30928
794,104.0776
795,213.99622
796,69.88146
802,138.74776
803,109.1204
805,59.701855
806,210.27626
807,127.51789
809,56.0
810,193.24338
812,87.53682
814,106.15483
818,193.25223
819,200.757
825,-0.07502794
836,90.22195
839,159.60136
847,210.74864
848,86.99547
851,167.93968
852,170.73305
853,51.959198
857,182.41699
858,89.79681
859,191.08809
861,9.472919
867,139.4402
870,173.7882
871,207.38602
872,213.26666
874,219.40782
881,206.39575
886,167.03348
890,
895,174.21335
899,70.14892
900,200.73979
901,209.98218
902,196.7251
903,89.687904
913,215.80197
918,213.06831
923,169.77882
924,67.69329
926,64.43613
927,84.01355
930,173.08305
934,49.692074
937,177.77498
939,149.26793
941,97.53162
942,216.82518
946,193.01569
950,124.04128
953,75.036705
959,59.072266
961,48.116547
962,92.6677
964,114.454185
969,164.2309
971,158.61565
976,70.679
978,195.86261
980,202.17184
981,168.81564
990,209.28838
993,70.63782
996,83.13605
998,204.08974
999,189.09642
1006,159.25206
1008,70.89031
1013,87.306046
1015,115.26842
1016,154.29233
1022,202.99922
1026,186.85233
1028,204.76202
1031,36.25723
1034,
1037,197.75784
1040,
1042,80.4857
1046,104.66201
1048,120.16264
1049,152.547
1050,
1051,188.19365
1052,202.57881
1055,97.55275
1060,168.29182
1064,101.74325
1066,66.16746
1071,158.99727
1073,73.70163
1089,179.77429
1091,121.64269
1092,75.842125
1093,206.52101
1096,198.19913
1097,179.65742
1098,67.8326
1099,65.843155
1102,202.89473
1107,86.28976
1109,85.10706
1111,53.79096
1112,146.32938
1114,226.1859
1116,202.30194
1117,158.2697
1118,75.00999
1122,
1124,181.55966
1127,100.32663
1133,188.31343
1134,69.45564
1135,165.8648
1139,198.58041
1143,
1150,94.53338
1151,138.34178
1153,207.5978
1155,74.4037
1162,73.52126
1163,182.28342
1166,15.530959
1171,79.731895
1172,56.929268
1173,210.08745
1174,93.04638
1177,123.14893
1178,127.540375
1184,88.72173
1185,143.65802
1186,97.55587
1187,195.00713
1188,215.90814
1191,176.10962
1207,132.02164
1213,91.49023
1215,166.9802
1223,195.44992
1227,148.83478
1236,
1237,
1238,103.91583
1241,52.91774
1248,84.6452
1250,61.07684
1251,185.21193
1253,103.166084
1255,127.68358
1257,190.48933
1261,109.33285
1262,198.6629
1265,155.48357
1273,213.55402
1277,185.12907
1278,137.13217
1280,91.376
1284,161.66656
1285,216.64445
1288,91.92861
1295,139.92169
1297,215.24684
1299,209.37634
1304,176.37578
1308,73.743416
1310,122.29342
1311,148.04149
1314,95.04767
1315,133.2567
1318,29.120508
1320,221.52562
1321,201.48215
1322,171.8614
1330,159.56868
1333,199.23952
1334,168.7071
1341,168.57846
1344,161.66158
1351,188.35297
1354,81.14528
1356,
1363,151.92859
1365,184.27214
1369,159.59053
1373,103.28634
1375,149.91914
1377,51.644283
1379,184.81386
1380,195.19174
1381,106.01377
1384,173.7192
1390,188.47043
1393,202.60677
1395,
1399,199.22673
1400,88.88741
1401,114.93317
1404,189.37662
1408,75.56825
1409,31.033283
1413,178.33888
1416,194.98067
1418,116.793076
1423,87.65188
1424,56.817467
1425,58.64485
1433,211.73564
1434,170.52486
1436,205.26978
1442,192.6653
1444,63.450935
1445,171.63858
1452,180.88098
1455,199.4383
1462,
1467,35.627583
1472,86.54305
1475,114.23078
1493,142.45117
1501,189.7327
1503,201.27968
1504,206.64592
1505,54.33288
1511,204.51942
1512,
1513,144.59184
1514,104.39709
1528,193.41693
1533,216.15
1534,67.87243
1536,181.94722
1537,78.28563
1539,133.9595
1550,177.9196
1552,184.88821
1554,199.75885
1555,206.23091
1556,68.325516
1559,59.601295
1563,194.86507
1566,181.37463
1567,137.40884
1568,73.66843
1571,192.3999
1572,71.41703
1574,
1577,85.21385
1583,81.87164
1585,91.0456
1586,186.52068
1587,195.396
1596,169.3696
1602,64.55147
1604,81.407845
1605,47.72392
1610,212.25386
1611,120.74084
1616,79.51869
1617,135.04404
1618,62.48321
1622,65.07111
1623,48.14173
1628,209.79816
1631,43.73014
1632,195.10811
1633,191.58662
1634,193.29347
1636,195.42743
1637,157.44275
1643,100.000145
1644,139.32175
1646,113.20377
1648,196.54663
1651,79.64971
1656,73.12372
1658,153.41335
1659,73.06637
1665,87.827965
1666,150.38365
1670,106.37275
1674,162.05127
1679,201.08392
1680,196.665
1683,217.79004
1686,55.426655
1691,129.04037
1693,63.218124
1696,80.015396
1697,117.587616
1703,87.522026
1706,53.512264
1709,178.42383
1710,80.866264
1712,
1713,153.10513
1718,199.99403
1719,191.12152
1722,208.21024
1723,149.39299
1724,215.92195
1728,52.9806
1730,95.720924
1732,71.817215
1737,43.77236
1745,52.602776
1747,77.03589
1748,82.0196
1755,120.22607
1759,81.57735
1761,196.77702
1764,180.03337
1765,176.74513
1766,52.855057
1768,70.71557
1770,82.82216
1771,170.60703
1774,112.474525
1785,172.24312
1788,206.97168
1792,71.58664
1794,187.52501
1797,140.50832
1798,47.34712
1799,216.74097
1802,128.53764
1806,62.486588
1808,92.025406
1810,199.87679
1818,41.44275
1819,214.80992
1820,217.9857
1822,186.98262
1826,193.8311
1827,167.47763
1835,91.20339
1841,134.06071
1842,133.23242
1843,103.59414
1846,62.712284
1849,59.56733
1850,208.174
1851,121.91241
1857,
1858,167.01796
1860,113.76014
1861,196.45103
1864,86.41356
1869,200.43024
1871,
1872,26.604847
1875,66.68111
1878,215.72585
1879,203.02086
1885,52.237747
1888,113.84177
1889,42.444866
1890,130.00037
1896,156.63794
1897,202.4598
1898,
1900,92.29425
1905,75.651344
1908,93.84641
1909,138.73607
1913,
1918,119.23836
1922,223.997
1923,159.0531
1925,197.79128
1926,157.24228
1927,201.37132
1930,189.63191
1935,73.90853
1939,117.17241
1942,121.413155
1943,
1948,211.04639
1949,190.02827
1951,134.96545
1953,139.6134
1959,
1963,76.631836
1967,164.54973
1973,183.067
1975,78.68425
1976,39.57321
1990,138.56946
1993,131.61166
1997,79.21402
1999,158.805
2001,186.21141
2004,60.65715
2010,122.965385
2013,162.48395
2017,213.74226
2021,113.124855
2023,71.00169
2026,186.14786
2037,63.45461
2039,94.53444
2041,60.698868
2046,74.52198
2050,80.87734
2060,183.78
2067,134.45836
2069,164.03082
2072,201.11589
2074,172.80412
2079,136.31328
2083,64.811424
2085,90.679054
2087,52.644733
2093,168.57278
2094,81.3667
2097,77.21418
2103,102.37637
2104,
2107,199.79001
